Effort,Vi,D,V,Sprint_Size,Work_days,Team_Salary,Act_Time,Actual_Cost
156,4.2,0.687,2.7,10,22,230000,63,1200000
202,3.7,0.701,2.5,10,21,260000,92,1600000
173,4,0.878,3.3,10,22,250000,56,1000000
331,4.5,0.886,3.8,10,22,300000,86,2100000
124,4.9,0.903,4.2,10,22,300000,32,750000
339,4.1,0.903,3.6,10,22,400000,91,3200000
97,4.2,0.859,3.4,10,22,250000,35,600000
257,3.8,0.833,3,10,22,250000,93,1800000
84,3.9,0.646,2.4,10,22,190000,36,500000
211,4.6,0.758,3.2,10,22,250000,62,1200000
131,4.6,0.758,3.2,10,22,250000,45,800000
112,3.9,0.773,2.9,10,22,200000,37,650000
101,3.9,0.773,2.9,10,22,200000,32,600000
74,3.9,0.773,2.9,10,22,200000,30,400000
62,3.9,0.773,2.9,10,22,200000,21,350000
289,4,0.742,2.8,10,22,250000,112,2000000
113,4,0.742,2.8,10,22,250000,39,800000
141,4,0.742,2.8,10,22,250000,52,1000000
213,4,0.742,2.8,10,22,250000,80,1500000
137,3.7,0.758,2.7,10,22,220000,56,800000
91,3.7,0.758,2.7,10,22,220000,35,550000
