Case_Number,Project_tech_ID,YK,Project_name,Business_names,Protype_names,Hardware_names,Duration,Size_ep99_proj,Worksup,SituCoeff,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,InpTot,InpFP,InqTot,InqFP,OutTot,OutFP,IntTot,IntFP,EntTot,EntFP,AlgTot,AlgFP,AllTot,AllFP_ep20
1,3474,H,PN100,W,N,M,7,290,2466,52,2,3,4,3,3,3,4,3,4,4,3,5,3,4,5,4,3,3,3,3,4,32,109,4,10,16,75,9,64,5,22,0,0,66,280
2,4144,H,PN101,W,N,M,6,328,2210,58,2,3,4,3,3,3,4,3,4,4,2,5,2,4,5,4,3,3,3,3,4,16,49,12,44,24,114,11,83,5,27,0,0,68,317
3,4254,H,PN102,W,N,M,3,150,531,64,1,3,4,3,3,3,4,3,4,4,4,5,3,4,5,4,3,1,3,3,4,7,22,7,19,6,25,9,51,5,22,0,0,34,139
4,4304,H,PN103,W,N,M,6,74,341,37,4,3,4,3,3,3,4,3,4,4,5,5,3,4,5,4,3,3,4,3,4,1,3,1,1,8,27,6,36,1,5,0,0,17,72
5,1346,C,PN104,C,N,C,8,149,682,45,4,5,4,3,2,3,3,5,3,3,2,5,4,3,3,2,4,4,4,4,4,10,28,5,14,0,0,2,10,1,5,0,0,18,57
6,1345,C,PN104,C,N,C,8,149,682,45,4,5,4,3,2,3,3,5,3,3,2,5,4,3,3,2,4,4,4,4,4,9,37,12,17,2,12,3,17,2,9,0,0,28,92
7,1785,C,PN105,C,N,C,35,349,579,141,1,3,2,4,2,3,3,3,2,2,5,3,3,2,3,3,2,2,4,2,3,4,12,21,78,5,16,14,44,11,84,5,15,60,249
8,1786,C,PN105,C,N,C,35,349,579,141,1,3,2,4,2,3,3,3,2,2,5,3,3,2,3,3,2,2,4,2,3,3,16,0,0,0,0,3,19,7,65,0,0,13,100
9,4826,C,PN106,C,D,C,5,70,457,73,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,15,3,8,0,0,3,15,0,0,0,0,10,38
10,4825,C,PN106,C,D,C,5,70,457,73,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,12,1,6,0,0,2,14,0,0,0,0,5,32
11,2664,AB,PN107,P,N,N,27,2327,18520,157,5,4,5,3,3,1,5,5,1,1,1,1,5,1,2,3,2,1,2,3,2,106,478,6,22,18,126,0,0,148,1130,10,53,288,1809
12,1704,F,PN108,I,N,M,17,692,9143,149,3,4,3,3,3,4,3,3,1,1,2,3,5,3,3,4,3,1,1,3,3,51,189,55,154,9,73,1,2,22,152,13,15,151,585
13,2044,F,PN109,I,N,M,43,2013,4284,147,3,4,2,3,3,4,3,3,1,1,1,2,4,3,3,3,3,3,3,3,3,87,595,48,196,19,136,5,53,42,474,117,349,318,1803
14,2134,F,PN110,I,N,N,6,193,608,71,1,4,4,3,3,5,1,4,3,3,5,5,5,4,3,3,3,1,1,3,5,11,39,18,71,4,18,1,5,6,40,1,3,41,176
15,1864,A,PN111,B,N,M,15,104,1454,105,2,3,2,3,3,2,3,4,2,3,3,5,2,4,3,2,3,3,4,3,3,12,48,0,0,3,21,2,18,2,4,5,13,24,104
16,1886,A,PN112,B,N,C,12,262,4161,183,3,2,2,3,3,3,2,3,1,2,3,5,3,2,2,2,3,3,3,2,3,17,58,0,0,4,21,11,89,7,37,1,1,40,206
17,1885,A,PN112,B,N,C,12,262,4161,183,3,2,2,3,3,3,2,3,1,2,3,5,3,2,2,2,3,3,3,2,3,3,11,1,1,0,0,3,24,4,20,0,0,11,56
18,1904,A,PN113,B,D,M,5,321,420,39,4,2,5,4,3,4,5,4,3,3,5,3,2,3,5,5,2,3,3,3,4,23,86,0,0,10,20,30,150,13,65,0,0,76,321
19,1974,A,PN114,B,D,M,5,40,257,127,2,2,2,3,3,3,2,3,2,3,3,5,5,3,2,3,2,4,2,3,4,6,22,0,0,0,0,1,5,1,13,0,0,8,40
20,2076,A,PN115,B,N,C,23,406,5486,142,3,2,3,2,3,4,3,3,2,3,2,4,3,3,3,2,3,3,2,3,3,9,48,1,1,8,52,9,84,2,20,1,3,30,208
21,2075,A,PN115,B,N,C,23,406,5486,142,3,2,3,2,3,4,3,3,2,3,2,4,3,3,3,2,3,3,2,3,3,10,39,9,33,3,29,12,78,2,20,0,0,36,199
22,2085,A,PN116,B,O,C,10,107,1096,102,4,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,3,4,4,10,0,0,2,9,14,72,1,7,1,3,22,101
23,2086,A,PN116,B,O,C,10,107,1096,102,4,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,3,4,1,3,1,3,0,0,0,0,0,0,0,0,2,6
24,2214,A,PN117,B,N,P,8,316,1520,92,3,3,4,3,2,1,3,4,3,3,4,4,4,3,3,3,3,3,2,1,4,10,31,3,11,10,38,12,118,9,117,3,3,47,318
25,2304,A,PN118,B,N,M,2,85,162,70,3,3,2,2,3,3,2,3,2,3,4,3,5,3,4,4,5,3,3,4,3,21,26,0,0,0,0,1,5,19,54,0,0,41,85
26,2336,A,PN119,B,D,C,9,277,1411,61,5,3,2,4,3,3,3,3,3,4,4,5,4,4,2,2,4,4,2,4,3,22,67,0,0,0,0,14,56,4,8,0,0,40,131
27,2335,A,PN119,B,D,C,9,277,1411,61,5,3,2,4,3,3,3,3,3,4,4,5,4,4,2,2,4,4,2,4,3,18,38,23,49,0,0,14,59,0,0,0,0,55,146
28,2626,A,PN120,B,N,C,1,78,85,44,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,11,0,0,0,0,5,34,1,7,0,0,9,52
29,2625,A,PN120,B,N,C,1,78,85,44,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,5,13,0,0,0,0,1,13,0,0,0,0,6,26
30,2656,A,PN121,B,N,C,13,357,2352,113,5,2,4,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,3,4,15,62,0,0,13,55,17,81,5,39,8,27,58,264
31,2655,A,PN121,B,N,C,13,357,2352,113,5,2,4,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,3,4,8,30,0,0,0,0,8,38,0,0,7,25,23,93
32,2657,A,PN121,B,N,C,13,357,2352,113,5,2,4,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,3,4,10,39,4,10,0,0,6,28,4,14,0,0,24,91
33,2674,A,PN122,B,D,M,2,85,204,52,3,4,4,4,4,4,3,2,3,3,3,5,3,4,3,4,4,3,4,4,4,8,18,6,23,0,0,6,42,0,0,2,2,22,85
34,3009,A,PN123,B,N,C,18,1635,11487,105,3,4,2,2,3,3,4,3,1,3,3,3,1,3,3,2,4,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3449,A,PN124,B,N,C,4,51,190,89,3,3,3,3,3,3,3,3,3,3,3,5,4,2,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4449,A,PN125,B,N,M,8,222,731,47,2,3,2,4,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3564,O,PN126,M,N,M,4,293,1150,65,3,4,2,3,3,4,2,2,4,4,4,4,5,3,1,2,4,4,5,3,3,19,89,12,46,14,66,1,7,9,59,0,0,55,267
38,3574,O,PN127,M,N,M,9,118,1015,142,2,2,1,3,3,4,2,2,2,2,5,5,5,4,3,4,2,3,2,3,1,8,23,4,10,10,56,1,2,5,16,0,0,28,107
39,3584,O,PN128,M,N,M,3,92,250,45,4,3,3,3,3,3,4,2,4,4,4,5,5,2,3,4,4,4,4,3,4,5,22,4,18,3,17,0,0,3,24,0,0,15,81
